WARD,REGISTERED VOTERS,BALLOTS CAST,RACE,CANDIDATE,VOTES
1,27818,12134,Andrew Berman,No,1407
1,27818,12134,Andrew Berman,Yes,4725
1,27818,12134,Anita Rivkin-Carothers,No,1291
1,27818,12134,Anita Rivkin-Carothers,Yes,4767
1,27818,12134,Ann Collins-Dole,No,1205
1,27818,12134,Ann Collins-Dole,Yes,4857
1,27818,12134,Anna Helen Demacopoulos,No,1180
1,27818,12134,Anna Helen Demacopoulos,Yes,4901
1,27818,12134,Annie O'Donnell,No,1955
1,27818,12134,Annie O'Donnell,Yes,4218
1,27818,12134,Appellate Court Judge (Vac of Gordon),Shelly A. Harris,8156
1,27818,12134,Appellate Court Judge (Vac of Murphy),David Ellis,7980
1,27818,12134,Appellate Court Judge (Vac of Steele),John B. Simon,7920
1,27818,12134,Candace Jean Fabri,No,1282
1,27818,12134,Candace Jean Fabri,Yes,4847
1,27818,12134,Casandra Lewis,No,1241
1,27818,12134,Casandra Lewis,Yes,4803
1,27818,12134,Clayton J. Crane,No,1396
1,27818,12134,Clayton J. Crane,Yes,4780
1,27818,12134,Debra B. Walker,No,1156
1,27818,12134,Debra B. Walker,Yes,4954
1,27818,12134,Dennis Michael McGuire,No,1473
1,27818,12134,Dennis Michael McGuire,Yes,4493
1,27818,12134,Diana L. Kenworthy,No,1205
1,27818,12134,Diana L. Kenworthy,Yes,4855
1,27818,12134,Diane Gordon Cannon,No,1503
1,27818,12134,Diane Gordon Cannon,Yes,4739
1,27818,12134,Dominique C. Ross,No,1262
1,27818,12134,Dominique C. Ross,Yes,4753
1,27818,12134,Donald J. Suriano,No,1356
1,27818,12134,Donald J. Suriano,Yes,4648
1,27818,12134,Donna L. Cooper,No,1189
1,27818,12134,Donna L. Cooper,Yes,4853
1,27818,12134,Edmund Ponce de Leon,No,1252
1,27818,12134,Edmund Ponce de Leon,Yes,4973
1,27818,12134,Edward A. Arce,No,1311
1,27818,12134,Edward A. Arce,Yes,4741
1,27818,12134,Eileen Mary Brewer,No,1206
1,27818,12134,Eileen Mary Brewer,Yes,4868
1,27818,12134,Eileen O'Neill Burke,No,1260
1,27818,12134,Eileen O'Neill Burke,Yes,4832
1,27818,12134,Evelyn B. Clay,No,1248
1,27818,12134,Evelyn B. Clay,Yes,5030
1,27818,12134,FAA Noise Rules,No,3027
1,27818,12134,FAA Noise Rules,Yes,7305
