ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
4,51317,7547,39443,2140,1064,,,,25.830167294379013
33,58307,16032,1731,5938,32260,,,,9.195217090693413
49,57620,19079,17209,3976,14725,,,,7.642100978683872
37,57234,2071,41515,285,12864,,,,12.630428872033525
OUT,1202,1119,0,26,45,,,,0.22533039189722454
18,60815,11634,40936,437,6874,,,,8.899732249665043
31,62276,14115,1241,1112,44504,,,,14.34290081986263
25,55303,6494,3907,5324,38869,,,,24.29046855551664
8,57577,410,55985,82,508,,,,14.540078949021638
26,60011,8284,7964,391,42357,,,,19.893618325149355
28,58433,706,50758,82,6527,,,,28.593410975495782
3,51244,2561,43856,1417,2875,,,,36.717524854345335
47,60330,38140,1992,3963,14460,,,,21.102716290701295
1,56782,20590,3287,979,30542,,,,21.572391850001647
38,60837,43661,462,2467,12510,,,,13.648466515773901
11,60592,23593,1707,13150,21219,,,,30.617742926787717
30,57157,16590,1907,1131,35936,,,,9.977482507377813
39,62125,27587,1498,11810,18592,,,,11.151394332591384
12,62685,7408,9686,1148,43870,,,,16.926050688811763
9,55153,1125,50900,39,2539,,,,11.164904558831878
6,57834,201,56583,40,371,,,,16.56779890435189
5,53747,8961,40621,2208,983,,,,20.0168445621782
19,54809,38181,13771,256,1771,,,,14.713343260565448
41,57398,50181,482,1959,4123,,,,12.591110573443473
23,57362,39142,4398,440,12522,,,,19.71795739819885
24,58276,551,52862,59,4441,,,,30.603848973653335
46,58845,29692,11333,6142,9622,,,,11.320254332948556
44,55836,46189,1900,2991,3755,,,,20.9504724918612
36,63209,44242,2958,2242,12515,,,,14.650381933467145
48,59234,27825,11932,7713,9333,,,,7.3089904309518925
27,56587,11348,33455,752,10224,,,,26.36920498131129
50,57172,29786,3503,12002,8891,,,,7.28508246139057
7,50210,1075,43599,67,4780,,,,10.191593675864306
15,53514,3513,34291,221,14672,,,,14.502661747840323
34,56952,824,55020,31,580,,,,11.306026620205232
40,61381,26785,5175,11140,15234,,,,10.809832416880736
10,58539,15057,12522,117,29977,,,,16.73158189491111
2,52350,12572,31414,4270,3159,,,,40.500466587655026
22,57248,1498,3328,41,52177,,,,11.199049817540393
35,57850,14269,2515,1243,38059,,,,13.713192302973411
32,59773,43096,2623,1720,10775,,,,34.057008232570816
17,53804,246,52658,47,404,,,,16.494777708664035
21,59368,425,57960,35,420,,,,18.497369839487675
16,55703,2359,34313,89,18388,,,,21.35182845000423
45,59398,46002,271,2992,8690,,,,12.433103585083945
OUT,23160,21050,46,782,1061,,,,3.989267901413726
42,57884,44283,5167,4789,2523,,,,13.88648292292404
13,57317,30186,1558,520,23838,,,,11.84231662591609
14,60059,12222,955,614,45385,,,,14.816459122493384
OUT,531,417,61,7,38,,,,0.08817780491903031
43,59651,49932,4283,2223,2231,,,,15.207427055313213
29,60934,5305,41903,767,12341,,,,9.044917051399914
20,56721,1421,46525,241,7952,,,,23.340583820060584
