ward,Total Population,"Not Hispanic or Latino Origin, Whites","Not Hispanic or Latino Origin, Blacks","Not Hispanic or Latino Origin, Asians",Hispanic or Latino Origin,Aggregate household income in the past 12 months,Total households,mean household income,number of tracts
,62500,15502,15884,123,30082,,,,18.04537593412113
,66763,24320,1973,10312,29166,,,,31.128769121816536
,68784,5872,10190,805,51380,,,,21.448673953640146
,63800,32581,2211,615,26887,,,,12.54410219306382
,81099,14287,7117,826,57584,,,,17.172714511070396
,56426,3140,45059,254,7340,,,,15.942874658264415
,49589,1625,31802,54,15666,,,,20.7057999215654
,46450,152,45570,34,301,,,,14.698924361505348
,55495,5164,46952,206,2531,,,,9.972338634396532
,44950,7390,30251,3650,2851,,,,32.02812213685861
,49995,830,47951,226,469,,,,21.858990806199664
,53898,556,52398,36,434,,,,16.506164916175795
,60017,1624,10164,97,47859,,,,12.454462340286593
,61540,42391,2039,480,15681,,,,20.4194731378534
,49521,449,47537,50,1181,,,,29.107342577452005
,52463,4954,1990,7236,37718,,,,19.258967613326885
,57788,11852,5566,757,38607,,,,25.200923912894698
,61231,16729,32786,1654,9104,,,,32.59944607068623
,50339,521,47953,67,1489,,,,30.457768103073533
,61450,3570,44695,631,11999,,,,9.343603660536342
,41352,969,37002,63,2997,,,,29.160183523951673
,72842,29047,988,2372,37811,,,,13.352635584305464
,64627,7476,3299,691,52321,,,,15.312370920680493
,57791,40975,2436,1689,11126,,,,34.00445223900823
,63166,19821,1693,5998,33216,,,,11.334389277470695
,49645,716,47945,22,520,,,,9.69014475435201
,55509,11428,3166,779,38662,,,,12.389084827077983
,67668,42585,5007,2344,16461,,,,14.453058072812322
,57747,1092,48899,173,7098,,,,12.591727367362056
,66734,47619,456,2579,14221,,,,14.599992587469991
,63171,26155,1596,12380,20303,,,,10.357202699711019
,51487,8180,38835,2208,1121,,,,25.44627694267941
,60845,26645,5150,10818,15222,,,,10.812464774755819
,55387,48433,477,1822,4026,,,,12.136498465847076
,76097,52946,10472,7305,3794,,,,24.854278353970596
,58190,50198,2621,2181,2244,,,,16.352296748722594
,59727,49376,1997,3301,3956,,,,20.87463080685138
,60187,46997,263,3028,8463,,,,12.619844791841308
,55945,27995,10856,5686,9439,,,,11.242263940017
,52486,33135,1787,3466,12549,,,,17.961579615463915
,55474,25502,11460,7456,8816,,,,6.952419955498696
,57408,19179,17273,3907,14447,,,,6.959622565222289
,56042,8260,43883,2001,937,,,,21.60623964871221
,59647,30575,4230,12276,9405,,,,8.028537334463495
,55824,182,54650,34,344,,,,16.128684568692606
,54637,392,53105,81,497,,,,12.450608789656906
,47601,676,44412,28,2015,,,,8.235376196545563
,54018,37986,13202,255,1754,,,,14.55726728536211
,48287,16229,5304,641,24931,,,,14.705513816215511
,49104,1054,42141,66,5160,,,,9.999468391734371
